model,response_models,context_id,amount,total,low,not_low,invalid,low_pct,not_low_pct,errors
gpt-5.5,gpt-5.5-2026-04-23,fact_only,0,10,10,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,10,10,10,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,25,10,10,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,50,10,10,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,75,10,10,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,100,10,9,0,1,90.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,150,10,7,0,3,70.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,200,10,7,1,2,70.0%,10.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,300,10,8,0,2,80.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,500,10,3,0,7,30.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,750,10,3,0,7,30.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,875,10,4,0,6,40.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,937.5,10,4,2,4,40.0%,20.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,968.75,10,5,1,4,50.0%,10.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,984.38,10,6,1,3,60.0%,10.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,992.19,10,7,3,0,70.0%,30.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,996.1,10,9,0,1,90.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,998.05,10,8,2,0,80.0%,20.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,999.02,10,9,0,1,90.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,1000,10,0,8,2,0.0%,80.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,1500,10,0,8,2,0.0%,80.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,2500,10,2,5,3,20.0%,50.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,5000,10,0,9,1,0.0%,90.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,10000,10,0,10,0,0.0%,100.0%,0
